Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12651071, 7.00,, 200, 976,, 90, 0.303863, 0.348523, 0.347614, 0.001249, 0.001243, 0.000602,-4.272E-06, 3.536E-03, 1.963E-04, 1.048300, 1.040238, 0.911461, 87.9, 34.8, 269.5, 55.2, 178.4, 0.7, 235.2, 1.7, 325.2, 0.3, 64.8, 88.3, 1.0078, 1.1413, 1.1501, 1.1703, 12,0, 12,0,YES,3D,8/29/2023 8:47:56 PM,,
CUBE12651111, 7.00,, 200, 976,, 90, 0.315902, 0.344851, 0.339247, 0.001673,-0.000777, 0.001315,-4.272E-06, 3.491E-03, 1.200E-04, 1.035100, 1.017718, 0.947182, 267.0, 7.0, 61.4, 82.3, 176.6, 3.3, 277.0, 2.9, 186.8, 3.7, 45.5, 85.3, 1.0171, 1.0745, 1.0928, 1.0988, 12,0, 12,0,YES,3D,8/29/2023 8:50:30 PM,,
CUBE12651091, 7.00,, 200, 976,, 90, 0.302858, 0.350169, 0.346973, 0.002486, 0.001810,-0.002462,-4.272E-06, 3.643E-03, 2.008E-04, 1.053059, 1.039198, 0.907743, 88.3, 23.2, 259.3, 66.5, 356.9, 3.3, 246.8, 1.6, 336.9, 4.3, 136.7, 85.5, 1.0133, 1.1448, 1.1601, 1.1786, 12,0, 12,0,YES,3D,8/29/2023 8:52:05 PM,,
CUBE12651131, 7.00,, 200, 976,, 90, 0.313555, 0.344576, 0.341869, 0.003663, 0.001270, 0.003904,-4.272E-06, 3.581E-03, 1.406E-04, 1.037498, 1.024551, 0.937951, 80.2, 25.8, 278.3, 63.0, 173.7, 7.3, 243.9, 8.8, 153.3, 3.8, 40.4, 80.4, 1.0126, 1.0923, 1.1061, 1.1162, 12,0, 12,0,YES,3D,8/29/2023 8:53:44 PM,,
CUBE12651151, 7.00,, 200, 976,, 90, 0.318248, 0.339738, 0.342014, 0.001176,-0.000383, 0.002081,-4.272E-06, 1.937E-03, 1.311E-04, 1.026681, 1.019317, 0.954001, 305.0, 82.0, 86.3, 6.3, 176.8, 5.0, 173.4, 4.6, 263.7, 3.7, 32.4, 84.1, 1.0072, 1.0685, 1.0762, 1.0843, 12,0, 12,0,YES,3D,8/29/2023 8:55:32 PM,,
CUBE12651641, 7.00,, 200, 976,, 90, 0.321153, 0.340434, 0.338413, 0.001109,-0.000107,-0.000808,-4.272E-06, 1.389E-03, 1.609E-04, 1.021526, 1.015316, 0.963159, 266.5, 4.3, 118.5, 85.0, 356.7, 2.6, 274.3, 3.4, 4.4, 2.4, 129.0, 85.8, 1.0061, 1.0542, 1.0606, 1.0668, 12,0, 12,0,YES,3D,8/29/2023 8:57:24 PM,,
CUBE12651661, 7.00,, 200, 976,, 90, 0.324275, 0.337072, 0.338653,-0.002000,-0.000229, 0.001079,-4.272E-06, 1.473E-03, 1.120E-04, 1.016488, 1.011820, 0.971692, 293.2, 74.5, 97.5, 14.9, 188.6, 4.0, 165.7, 6.0, 75.0, 7.2, 295.2, 80.6, 1.0046, 1.0413, 1.0461, 1.0508, 12,0, 12,0,YES,3D,8/29/2023 8:58:58 PM,,
CUBE12651681, 7.00,, 200, 976,, 90, 0.322859, 0.337954, 0.339187,-0.001322, 0.000698,-0.000718,-4.272E-06, 1.659E-03, 1.060E-04, 1.018770, 1.013075, 0.968155, 99.4, 63.5, 273.7, 26.4, 4.9, 2.3, 26.2, 4.2, 116.5, 3.3, 244.8, 84.6, 1.0056, 1.0464, 1.0523, 1.0575, 12,0, 12,0,YES,3D,8/29/2023 9:00:30 PM,,
CUBE12652641, 7.00,, 200, 976,, 90, 0.320036, 0.339712, 0.340252,-0.000702, 0.000854,-0.001040,-4.272E-06, 1.693E-03, 1.343E-04, 1.022858, 1.017261, 0.959880, 95.8, 53.7, 269.8, 36.1, 1.9, 2.9, 36.1, 3.4, 306.1, 0.1, 213.8, 86.6, 1.0055, 1.0598, 1.0656, 1.0730, 12,0, 12,0,YES,3D,8/29/2023 9:02:01 PM,,
CUBE12651701, 7.00,, 200, 976,, 90, 0.315114, 0.345145, 0.339741,-0.001080, 0.000108, 0.000844,-4.272E-06, 1.905E-03, 1.368E-04, 1.035555, 1.019308, 0.945138, 92.0, 0.8, 339.4, 87.9, 182.1, 2.0, 89.2, 2.0, 179.3, 2.0, 313.7, 87.2, 1.0159, 1.0785, 1.0957, 1.1026, 12,0, 12,0,YES,3D,8/29/2023 9:03:32 PM,,
CUBE12651721, 7.00,, 200, 976,, 90, 0.317973, 0.341233, 0.340794,-0.001515,-0.000017,-0.001486,-4.272E-06, 3.279E-03, 1.003E-04, 1.024035, 1.022628, 0.953337, 94.3, 9.9, 253.5, 79.4, 3.7, 3.7, 80.1, 4.3, 349.9, 3.0, 225.0, 84.8, 1.0014, 1.0727, 1.0742, 1.0853, 12,0, 12,0,YES,3D,8/29/2023 9:05:10 PM,,
CUBE12651741, 7.00,, 200, 976,, 90, 0.315221, 0.343391, 0.341388,-0.001622, 0.000426, 0.001128,-4.272E-06, 3.745E-03, 1.112E-04, 1.030638, 1.024130, 0.945232, 92.9, 9.7, 287.6, 80.0, 183.3, 2.5, 80.3, 2.8, 170.4, 3.0, 307.1, 85.8, 1.0064, 1.0835, 1.0904, 1.1012, 12,0, 12,0,YES,3D,8/29/2023 9:06:38 PM,,
CUBE12652871, 7.00,, 200, 976,, 90, 0.298678, 0.355508, 0.345814,-0.011612,-0.007603,-0.012912,-4.272E-06, 3.829E-03, 2.429E-04, 1.080066, 1.042091, 0.877843, 275.4, 24.1, 131.3, 61.1, 12.3, 15.0, 114.2, 4.9, 22.5, 18.6, 218.5, 70.7, 1.0364, 1.1871, 1.2304, 1.2481, 12,0, 12,0,YES,3D,8/29/2023 9:08:08 PM,,
CUBE12652891, 7.00,, 200, 976,, 90, 0.349939, 0.343812, 0.306249,-0.002490,-0.006007,-0.037203,-4.272E-06, 4.605E-03, 2.842E-04, 1.113785, 1.033457, 0.852758, 182.0, 29.9, 274.6, 4.5, 12.3, 59.7, 356.5, 60.0, 94.5, 4.6, 187.1, 29.5, 1.0777, 1.2119, 1.3061, 1.3172, 12,0, 12,0,YES,3D,8/29/2023 9:09:41 PM,,
CUBE12652931, 7.00,, 200, 976,, 90, 0.334645, 0.353367, 0.311988, 0.005099,-0.006145,-0.031676,-4.272E-06, 4.016E-03, 2.579E-04, 1.089296, 1.041885, 0.868819, 224.7, 27.7, 123.9, 19.6, 3.3, 55.0, 306.7, 39.0, 66.7, 31.7, 182.3, 34.9, 1.0455, 1.1992, 1.2538, 1.2708, 12,0, 12,0,YES,3D,8/29/2023 10:08:57 PM,,
CUBE12652911, 7.00,, 200, 976,, 90, 0.298141, 0.351917, 0.349943,-0.010550, 0.000543, 0.007477,-4.272E-06, 3.943E-03, 2.221E-04, 1.062416, 1.052186, 0.885399, 282.7, 14.8, 73.8, 73.2, 190.6, 7.7, 105.1, 12.2, 196.2, 4.6, 306.5, 76.9, 1.0097, 1.1884, 1.1999, 1.2276, 12,0, 12,0,YES,3D,8/29/2023 10:18:42 PM,,
CUBE12653891, 7.00,, 200, 976,, 90, 0.317156, 0.342470, 0.340374, 0.000310,-0.002052,-0.004045,-4.272E-06, 3.043E-03, 1.208E-04, 1.031869, 1.018718, 0.949414, 263.3, 35.0, 103.2, 53.3, 0.1, 9.6, 305.2, 5.5, 36.0, 7.8, 180.5, 80.4, 1.0129, 1.0730, 1.0868, 1.0938, 12,0, 12,0,YES,3D,8/29/2023 10:20:26 PM,,
CUBE12653911, 7.00,, 200, 976,, 90, 0.310009, 0.345782, 0.344209,-0.001829,-0.001111,-0.004770,-4.272E-06, 4.926E-03, 1.450E-04, 1.039106, 1.033142, 0.927752, 268.6, 29.6, 106.5, 59.2, 3.1, 7.9, 299.6, 1.2, 29.8, 8.4, 201.4, 81.6, 1.0058, 1.1136, 1.1200, 1.1362, 12,0, 12,0,YES,3D,8/29/2023 10:21:58 PM,,
CUBE12653931, 7.00,, 200, 976,, 90, 0.301773, 0.351494, 0.346733,-0.001519, 0.002407,-0.006258,-4.272E-06, 4.679E-03, 1.807E-04, 1.058421, 1.038907, 0.902672, 95.1, 26.0, 256.1, 62.8, 1.4, 7.7, 64.0, 4.6, 333.4, 6.3, 189.9, 82.2, 1.0188, 1.1509, 1.1725, 1.1901, 12,0, 12,0,YES,3D,8/29/2023 10:23:26 PM,,
CUBE12653951, 7.00,, 200, 976,, 90, 0.306447, 0.348897, 0.344655,-0.000007,-0.000989,-0.010340,-4.272E-06, 4.642E-03, 1.715E-04, 1.048024, 1.040494, 0.911482, 263.8, 24.1, 118.2, 61.5, 0.3, 14.2, 294.2, 5.6, 25.5, 13.0, 181.3, 75.8, 1.0072, 1.1415, 1.1498, 1.1702, 12,0, 12,0,YES,3D,8/29/2023 10:24:58 PM,,
CUBE12653971, 7.00,, 200, 976,, 90, 0.313469, 0.343945, 0.342585,-0.002521,-0.000062,-0.000559,-4.272E-06, 2.602E-03, 1.275E-04, 1.032458, 1.027788, 0.939754, 274.7, 0.6, 156.1, 88.8, 4.7, 1.1, 90.6, 4.7, 0.5, 1.1, 256.8, 85.2, 1.0045, 1.0937, 1.0986, 1.1119, 12,0, 12,0,YES,3D,8/29/2023 10:27:18 PM,,
CUBE12653991, 7.00,, 200, 976,, 90, 0.314061, 0.344843, 0.341097,-0.001455, 0.001494, 0.002093,-4.272E-06, 2.117E-03, 1.434E-04, 1.036143, 1.022396, 0.941461, 91.4, 18.6, 286.1, 70.8, 182.9, 4.5, 71.4, 1.3, 161.5, 5.2, 327.5, 84.6, 1.0134, 1.0860, 1.1006, 1.1094, 12,0, 12,0,YES,3D,8/29/2023 10:28:46 PM,,
CUBE12654801, 7.00,, 200, 976,, 90, 0.308282, 0.346006, 0.345712,-0.000974, 0.000552,-0.003723,-4.272E-06, 3.429E-03, 1.612E-04, 1.040096, 1.036224, 0.923680, 97.1, 45.7, 266.0, 43.8, 1.4, 5.6, 44.1, 5.0, 313.8, 2.9, 193.8, 84.2, 1.0037, 1.1218, 1.1260, 1.1445, 12,0, 12,0,YES,3D,8/29/2023 10:30:34 PM,,
CUBE12654821, 7.00,, 200, 976,, 90, 0.298679, 0.353197, 0.348124,-0.002697, 0.000562,-0.006010,-4.272E-06, 5.393E-03, 1.907E-04, 1.060458, 1.046035, 0.893507, 94.0, 10.3, 240.0, 77.6, 2.7, 6.8, 79.7, 3.9, 349.2, 6.2, 201.8, 82.7, 1.0138, 1.1707, 1.1868, 1.2097, 12,0, 12,0,YES,3D,8/29/2023 10:32:04 PM,,
CUBE12654841, 7.00,, 200, 976,, 90, 0.304642, 0.349838, 0.345521, 0.000551, 0.002535,-0.009788,-4.272E-06, 3.355E-03, 1.854E-04, 1.054142, 1.038678, 0.907180, 96.9, 32.2, 249.8, 54.7, 358.6, 12.9, 57.6, 5.8, 326.4, 11.5, 174.0, 77.1, 1.0149, 1.1450, 1.1620, 1.1800, 12,0, 12,0,YES,3D,8/29/2023 10:33:36 PM,,
CUBE12654861, 7.00,, 200, 976,, 90, 0.307853, 0.349280, 0.342867,-0.008313,-0.003068,-0.007445,-4.272E-06, 5.104E-03, 1.559E-04, 1.053755, 1.032395, 0.913850, 278.6, 12.9, 142.3, 72.5, 11.3, 11.7, 103.0, 8.4, 10.9, 13.8, 223.6, 73.8, 1.0207, 1.1297, 1.1531, 1.1665, 12,0, 12,0,YES,3D,8/29/2023 10:41:23 PM,,
CUBE12654881, 7.00,, 200, 976,, 90, 0.312681, 0.343805, 0.343513,-0.000147, 0.000791,-0.007358,-4.272E-06, 3.515E-03, 1.341E-04, 1.036650, 1.030304, 0.933046, 115.5, 62.3, 264.1, 24.1, 359.9, 12.8, 25.3, 11.5, 294.2, 5.4, 179.8, 77.2, 1.0062, 1.1042, 1.1110, 1.1255, 12,0, 12,0,YES,3D,8/29/2023 10:43:12 PM,,
CUBE12654901, 7.00,, 200, 976,, 90, 0.308490, 0.347671, 0.343839,-0.002443, 0.001176,-0.010912,-4.272E-06, 4.852E-03, 1.632E-04, 1.047587, 1.036525, 0.915888, 104.7, 36.1, 253.6, 49.6, 2.9, 15.7, 53.0, 11.8, 320.8, 10.6, 190.0, 74.0, 1.0107, 1.1317, 1.1438, 1.1611, 12,0, 12,0,YES,3D,8/29/2023 10:44:55 PM,,
CUBE12655561, 7.00,, 200, 976,, 90, 0.308305, 0.346838, 0.344857, 0.002188,-0.000505,-0.013636,-4.272E-06, 5.336E-03, 1.772E-04, 1.049548, 1.039373, 0.911079, 230.3, 61.2, 94.8, 21.4, 357.3, 18.3, 337.1, 17.9, 68.5, 4.4, 171.9, 71.5, 1.0098, 1.1408, 1.1520, 1.1712, 12,0, 12,0,YES,3D,8/29/2023 10:46:52 PM,,
CUBE12655581, 7.00,, 200, 976,, 90, 0.309508, 0.348264, 0.342228, 0.005640, 0.003291, 0.001279,-4.272E-06, 2.674E-03, 1.584E-04, 1.051499, 1.022447, 0.926054, 81.4, 22.6, 265.3, 67.3, 172.0, 1.4, 247.2, 7.9, 337.4, 1.8, 80.2, 81.9, 1.0284, 1.1041, 1.1355, 1.1428, 12,0, 12,0,YES,3D,8/29/2023 10:48:21 PM,,
CUBE12655601, 7.00,, 200, 976,, 90, 0.314705, 0.345752, 0.339543, 0.007344,-0.001804,-0.006429,-4.272E-06, 5.227E-03, 1.399E-04, 1.045914, 1.018692, 0.935394, 253.7, 21.3, 106.1, 65.2, 348.4, 12.1, 292.1, 15.2, 23.9, 6.7, 136.9, 73.3, 1.0267, 1.0891, 1.1182, 1.1238, 12,0, 12,0,YES,3D,8/29/2023 10:50:06 PM,,
CUBE12655621, 7.00,, 200, 976,, 90, 0.304349, 0.351427, 0.344224, 0.000798, 0.001402,-0.009198,-4.272E-06, 4.634E-03, 1.697E-04, 1.055139, 1.037945, 0.906916, 91.5, 12.3, 224.9, 72.4, 358.7, 12.4, 77.7, 1.4, 347.4, 12.4, 174.2, 77.5, 1.0166, 1.1445, 1.1634, 1.1807, 12,0, 12,0,YES,3D,8/29/2023 10:51:42 PM,,
CUBE12655641, 7.00,, 200, 976,, 90, 0.298224, 0.352825, 0.348951,-0.001841, 0.000338,-0.004960,-4.272E-06, 4.637E-03, 1.908E-04, 1.058875, 1.048070, 0.893055, 92.7, 8.1, 237.9, 80.2, 1.9, 5.5, 81.9, 2.6, 351.7, 5.2, 198.8, 84.2, 1.0103, 1.1736, 1.1857, 1.2105, 12,0, 12,0,YES,3D,8/29/2023 10:53:21 PM,,
CUBE12655661, 7.00,, 200, 976,, 90, 0.318706, 0.337314, 0.343981, 0.009641, 0.002834,-0.007806,-4.272E-06, 2.850E-03, 1.435E-04, 1.038596, 1.024111, 0.937293, 176.4, 74.4, 68.5, 4.9, 337.2, 14.7, 1.0, 15.5, 264.8, 21.4, 124.2, 63.1, 1.0141, 1.0926, 1.1081, 1.1177, 12,0, 12,0,YES,3D,8/29/2023 10:54:52 PM,,
CUBE12656051, 7.00,, 200, 976,, 90, 0.310070, 0.347866, 0.342064, 0.001811,-0.000864,-0.006084,-4.272E-06, 4.947E-03, 1.418E-04, 1.044626, 1.028721, 0.926653, 265.3, 12.5, 126.0, 73.7, 357.6, 10.3, 282.6, 4.6, 13.3, 9.5, 166.9, 79.4, 1.0155, 1.1101, 1.1273, 1.1393, 12,0, 12,0,YES,3D,8/29/2023 10:57:02 PM,,
CUBE12656071, 7.00,, 200, 976,, 90, 0.308224, 0.344047, 0.347729,-0.004266,-0.000650,-0.000592,-4.272E-06, 4.382E-03, 1.194E-04, 1.043522, 1.033343, 0.923136, 271.3, 80.0, 96.9, 9.9, 6.7, 1.0, 170.0, 0.2, 80.0, 6.8, 261.9, 83.2, 1.0099, 1.1194, 1.1304, 1.1460, 12,0, 12,0,YES,3D,8/29/2023 10:59:06 PM,,
CUBE12656091, 7.00,, 200, 976,, 90, 0.321373, 0.338980, 0.339647, 0.002001, 0.001435,-0.001176,-4.272E-06, 2.048E-03, 1.066E-04, 1.022380, 1.014462, 0.963158, 88.3, 50.7, 260.0, 39.0, 353.3, 4.1, 219.3, 1.1, 309.4, 7.8, 121.6, 82.1, 1.0078, 1.0533, 1.0615, 1.0670, 12,0, 12,0,YES,3D,8/29/2023 11:05:18 PM,,
CUBE12656111, 7.00,, 200, 976,, 90, 0.300643, 0.349924, 0.349433,-0.004606,-0.001124,-0.005678,-4.272E-06, 1.771E-03, 2.048E-04, 1.052486, 1.048859, 0.898655, 270.1, 38.6, 103.4, 50.6, 5.4, 6.6, 128.6, 0.1, 38.6, 8.5, 219.0, 81.5, 1.0035, 1.1671, 1.1712, 1.1978, 12,0, 12,0,YES,3D,8/29/2023 11:06:46 PM,,
CUBE12656271, 7.00,, 200, 976,, 90, 0.314517, 0.350642, 0.334841, 0.007219,-0.004906,-0.031619,-4.272E-06, 4.721E-03, 2.186E-04, 1.089850, 1.036196, 0.873954, 227.1, 41.5, 108.9, 28.1, 356.4, 35.7, 320.4, 30.7, 60.6, 16.7, 175.1, 54.2, 1.0518, 1.1856, 1.2470, 1.2603, 12,0, 12,0,YES,3D,8/29/2023 11:08:19 PM,,
CUBE12656291, 7.00,, 200, 976,, 90, 0.285306, 0.355474, 0.359220, 0.001499,-0.001749,-0.017318,-4.272E-06, 5.608E-03, 3.103E-04, 1.090760, 1.064939, 0.844302, 228.7, 71.1, 92.3, 13.9, 359.1, 12.5, 345.6, 12.4, 76.1, 2.2, 176.1, 77.4, 1.0242, 1.2613, 1.2919, 1.3270, 12,0, 12,0,YES,3D,8/29/2023 11:28:41 PM,,
CUBE12656311, 7.00,, 200, 976,, 90, 0.350374, 0.340779, 0.308848, 0.011771, 0.005746,-0.027262,-4.272E-06, 5.135E-03, 1.813E-04, 1.099555, 1.021312, 0.879134, 199.8, 22.3, 101.5, 19.3, 334.6, 59.7, 320.5, 60.5, 70.3, 10.9, 165.9, 27.1, 1.0766, 1.1617, 1.2507, 1.2561, 12,0, 12,0,YES,3D,8/29/2023 11:32:38 PM,,
CUBE12656331, 7.00,, 200, 976,, 90, 0.303164, 0.349429, 0.347408, 0.000107, 0.000536,-0.003608,-4.272E-06, 2.336E-03, 1.769E-04, 1.048729, 1.042658, 0.908612, 91.1, 15.6, 253.7, 73.7, 359.8, 4.6, 74.4, 1.1, 344.3, 4.5, 177.7, 85.4, 1.0058, 1.1475, 1.1542, 1.1763, 12,0, 12,0,YES,3D,8/29/2023 11:34:26 PM,,
CUBE12656351, 7.00,, 200, 976,, 90, 0.304493, 0.350596, 0.344912, 0.003068,-0.000362,-0.000202,-4.272E-06, 5.054E-03, 1.750E-04, 1.052468, 1.034666, 0.912866, 266.2, 3.6, 90.2, 86.4, 356.2, 0.3, 273.6, 3.8, 3.6, 0.0, 93.8, 86.2, 1.0172, 1.1334, 1.1529, 1.1681, 12,0, 12,0,YES,3D,8/29/2023 11:35:59 PM,,
CUBE12647381, 7.00,, 200, 976,, 90, 0.319496, 0.341974, 0.338530,-0.000985, 0.001276,-0.006625,-4.272E-06, 1.729E-03, 1.514E-04, 1.028878, 1.018908, 0.952215, 102.0, 30.7, 246.2, 53.8, 1.4, 17.3, 58.7, 10.3, 326.2, 13.8, 184.4, 72.6, 1.0098, 1.0700, 1.0805, 1.0880, 12,0, 12,0,YES,3D,8/29/2023 11:39:32 PM,,
CUBE12656371, 7.00,, 200, 976,, 90, 0.303496, 0.351607, 0.344896,-0.008122,-0.000887,-0.009900,-4.272E-06, 5.108E-03, 1.842E-04, 1.059082, 1.040995, 0.899923, 100.6, 6.7, 218.4, 75.8, 9.2, 12.4, 83.2, 10.6, 351.1, 11.1, 215.8, 74.6, 1.0174, 1.1568, 1.1769, 1.1959, 12,0, 12,0,YES,3D,8/29/2023 11:41:51 PM,,
CUBE12656391, 7.00,, 200, 976,, 90, 0.303786, 0.351391, 0.344823,-0.004385,-0.000574,-0.007281,-4.272E-06, 3.354E-03, 1.808E-04, 1.055379, 1.038214, 0.906407, 95.4, 0.9, 190.5, 80.2, 5.2, 9.7, 89.1, 5.4, 358.2, 9.6, 207.9, 79.0, 1.0165, 1.1454, 1.1644, 1.1818, 12,0, 12,0,YES,3D,8/29/2023 11:43:31 PM,,
CUBE12656501, 7.00,, 200, 976,, 90, 0.310145, 0.344477, 0.345377, 0.000578, 0.000731, 0.000308,-4.272E-06, 3.774E-03, 1.403E-04, 1.037383, 1.032218, 0.930399, 88.2, 60.6, 269.3, 29.4, 179.0, 0.5, 209.4, 0.9, 299.4, 0.6, 63.3, 88.9, 1.0050, 1.1094, 1.1150, 1.1308, 12,0, 12,0,YES,3D,8/29/2023 11:45:02 PM,,
CUBE12656521, 7.00,, 200, 976,, 90, 0.309219, 0.345748, 0.345034, 0.002580,-0.001663,-0.000759,-4.272E-06, 3.427E-03, 1.499E-04, 1.041767, 1.031156, 0.927077, 265.2, 37.8, 87.3, 52.2, 356.0, 1.0, 307.9, 3.8, 217.7, 1.6, 104.4, 85.9, 1.0103, 1.1123, 1.1237, 1.1379, 12,0, 12,0,YES,3D,8/29/2023 11:46:41 PM,,
CUBE12656541, 7.00,, 200, 976,, 90, 0.310760, 0.347778, 0.341462,-0.001129,-0.002233,-0.005955,-4.272E-06, 4.487E-03, 1.399E-04, 1.045512, 1.025735, 0.928753, 268.7, 18.6, 120.8, 68.3, 2.3, 10.7, 288.6, 1.3, 18.9, 10.9, 192.1, 79.0, 1.0193, 1.1044, 1.1257, 1.1356, 12,0, 12,0,YES,3D,8/29/2023 11:48:15 PM,,
CUBE12656561, 7.00,, 200, 976,, 90, 0.319351, 0.342335, 0.338314,-0.000645,-0.000490,-0.001931,-4.272E-06, 4.131E-03, 9.436E-05, 1.027205, 1.015388, 0.957407, 271.1, 6.3, 133.9, 81.4, 1.7, 5.8, 96.3, 1.1, 6.2, 5.9, 196.5, 84.0, 1.0116, 1.0606, 1.0729, 1.0784, 12,0, 12,0,YES,3D,8/29/2023 11:49:53 PM,,
CUBE12656581, 7.00,, 200, 976,, 90, 0.314348, 0.343116, 0.342536,-0.000855,-0.000104,-0.001889,-4.272E-06, 3.382E-03, 1.138E-04, 1.029439, 1.027972, 0.942589, 271.3, 5.7, 125.6, 83.2, 1.7, 3.8, 95.7, 1.3, 5.6, 4.0, 204.0, 85.8, 1.0014, 1.0906, 1.0921, 1.1062, 12,0, 12,0,YES,3D,8/29/2023 11:51:28 PM,,
CUBE12656601, 7.00,, 200, 976,, 90, 0.318427, 0.340534, 0.341039,-0.003727, 0.001375,-0.002686,-4.272E-06, 3.863E-03, 1.010E-04, 1.029005, 1.018305, 0.952689, 105.0, 45.9, 273.2, 43.5, 8.9, 5.9, 43.1, 10.4, 133.6, 2.3, 236.0, 79.3, 1.0105, 1.0689, 1.0801, 1.0872, 12,0, 12,0,YES,3D,8/29/2023 11:52:58 PM,,
CUBE12656691, 7.00,, 200, 976,, 90, 0.316663, 0.344190, 0.339147, 0.001887,-0.000014,-0.003196,-4.272E-06, 3.488E-03, 1.047E-04, 1.032988, 1.018731, 0.948280, 265.8, 2.8, 156.7, 81.7, 356.2, 7.9, 272.8, 4.2, 3.3, 7.7, 154.2, 81.2, 1.0140, 1.0743, 1.0893, 1.0962, 12,0, 12,0,YES,3D,8/29/2023 11:54:35 PM,,
CUBE12656711, 7.00,, 200, 976,, 90, 0.302374, 0.351452, 0.346174,-0.000023, 0.001327,-0.000915,-4.272E-06, 2.766E-03, 1.779E-04, 1.055304, 1.037631, 0.907065, 90.3, 13.4, 265.0, 76.6, 360.0, 1.2, 76.6, 0.3, 346.6, 1.2, 179.7, 88.8, 1.0170, 1.1439, 1.1634, 1.1805, 12,0, 12,0,YES,3D,8/29/2023 11:56:05 PM,,
CUBE12656731, 7.00,, 200, 976,, 90, 0.310427, 0.347702, 0.341872, 0.000803,-0.000711,-0.005973,-4.272E-06, 3.955E-03, 1.388E-04, 1.043577, 1.028467, 0.927957, 267.2, 9.5, 135.8, 75.9, 359.0, 10.4, 279.5, 2.7, 9.9, 10.1, 174.5, 79.6, 1.0147, 1.1083, 1.1246, 1.1366, 12,0, 12,0,YES,3D,8/29/2023 11:57:37 PM,,
CUBE12656751, 7.00,, 200, 976,, 90, 0.302520, 0.350021, 0.347460,-0.001152,-0.001411,-0.007756,-4.272E-06, 2.842E-03, 1.966E-04, 1.052324, 1.044135, 0.903542, 265.9, 30.6, 107.0, 57.6, 1.6, 9.6, 300.7, 3.5, 31.2, 9.0, 189.6, 80.3, 1.0078, 1.1556, 1.1647, 1.1873, 12,0, 12,0,YES,3D,8/29/2023 11:59:10 PM,,
CUBE12656771, 7.00,, 200, 976,, 90, 0.295278, 0.356617, 0.348105, 0.000521,-0.000073,-0.008354,-4.272E-06, 2.548E-03, 2.137E-04, 1.069873, 1.048172, 0.881954, 269.4, 1.1, 172.2, 81.2, 359.5, 8.8, 271.1, 0.6, 1.2, 8.8, 177.0, 81.2, 1.0207, 1.1885, 1.2131, 1.2364, 12,0, 12,0,YES,3D,8/30/2023 12:00:37 AM,,
CUBE12656791, 7.00,, 200, 976,, 90, 0.313606, 0.344756, 0.341638,-0.002871, 0.002123, 0.004040,-4.272E-06, 2.472E-03, 1.407E-04, 1.037552, 1.024268, 0.938180, 91.7, 25.4, 292.4, 63.0, 185.7, 8.3, 64.6, 1.5, 154.8, 9.9, 325.9, 79.9, 1.0130, 1.0918, 1.1059, 1.1158, 12,0, 12,0,YES,3D,8/30/2023 12:02:06 AM,,
CUBE12656901, 7.00,, 200, 976,, 90, 0.305978, 0.347253, 0.346769,-0.001387,-0.001081,-0.002895,-4.272E-06, 4.398E-03, 1.664E-04, 1.044399, 1.038434, 0.917167, 268.6, 40.2, 96.8, 49.5, 2.0, 4.1, 310.2, 1.1, 40.3, 4.4, 206.3, 85.4, 1.0057, 1.1322, 1.1387, 1.1581, 12,0, 12,0,YES,3D,8/30/2023 12:03:39 AM,,
CUBE12656921, 7.00,, 200, 976,, 90, 0.313080, 0.345212, 0.341708, 0.000474, 0.000133,-0.004706,-4.272E-06, 2.081E-03, 1.305E-04, 1.035662, 1.027382, 0.936957, 89.3, 1.3, 187.3, 80.8, 359.1, 9.1, 268.7, 0.7, 358.8, 9.1, 174.6, 80.9, 1.0081, 1.0965, 1.1053, 1.1177, 12,0, 12,0,YES,3D,8/30/2023 12:05:09 AM,,
CUBE12656941, 7.00,, 200, 976,, 90, 0.306604, 0.347609, 0.345788, 0.000712, 0.000370,-0.007437,-4.272E-06, 2.547E-03, 1.722E-04, 1.043160, 1.041163, 0.915678, 93.3, 22.3, 245.6, 65.2, 358.9, 10.4, 67.7, 3.0, 337.2, 10.0, 174.3, 79.5, 1.0019, 1.1370, 1.1392, 1.1612, 12,0, 12,0,YES,3D,8/30/2023 12:06:41 AM,,
CUBE12656961, 7.00,, 200, 976,, 90, 0.301004, 0.351093, 0.347902,-0.002691, 0.001386,-0.000529,-4.272E-06, 1.907E-03, 2.048E-04, 1.055266, 1.042166, 0.902568, 93.3, 20.1, 271.5, 69.8, 3.1, 0.6, 69.8, 3.1, 159.9, 0.5, 259.7, 86.9, 1.0126, 1.1547, 1.1692, 1.1897, 12,0, 12,0,YES,3D,8/30/2023 12:08:09 AM,,
