Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12646931, 7.00,, 200, 976,, 90, 0.304132, 0.353132, 0.342736,-0.004754, 0.001206,-0.009175,-4.272E-06, 1.595E-03, 2.021E-04, 1.062105, 1.032824, 0.905070, 97.7, 12.1, 230.6, 72.5, 5.0, 12.4, 77.8, 7.5, 346.3, 11.0, 201.5, 76.6, 1.0284, 1.1412, 1.1735, 1.1864, 12,0, 12,0,YES,3D,8/29/2023 7:21:46 PM,,
CUBE12646951, 7.00,, 200, 976,, 90, 0.313910, 0.351232, 0.334857, 0.006434, 0.002043,-0.005889,-4.272E-06, 1.349E-03, 1.799E-04, 1.057127, 1.009177, 0.933696, 81.0, 3.6, 184.6, 74.9, 350.1, 14.6, 266.4, 8.9, 358.8, 15.0, 146.6, 72.4, 1.0475, 1.0808, 1.1322, 1.1337, 12,0, 12,0,YES,3D,8/29/2023 7:23:31 PM,,
CUBE12646971, 7.00,, 200, 976,, 90, 0.308310, 0.343338, 0.348353,-0.001647, 0.004998,-0.002472,-4.272E-06, 1.512E-03, 1.711E-04, 1.054922, 1.020760, 0.924318, 97.4, 58.1, 270.2, 31.7, 2.2, 3.2, 31.7, 3.9, 121.7, 0.2, 214.4, 86.1, 1.0335, 1.1043, 1.1413, 1.1475, 12,0, 12,0,YES,3D,8/29/2023 7:25:07 PM,,
CUBE12646991, 7.00,, 200, 976,, 90, 0.337557, 0.336453, 0.325990,-0.000956, 0.000466, 0.000504,-4.272E-06, 3.524E-03, 6.731E-05, 1.014336, 1.007832, 0.977831, 330.3, 1.0, 60.4, 3.8, 225.7, 86.1, 92.0, 60.3, 265.7, 29.6, 357.2, 2.7, 1.0065, 1.0307, 1.0373, 1.0399, 12,0, 12,0,YES,3D,8/29/2023 7:27:01 PM,,
CUBE12647051, 7.00,, 200, 976,, 90, 0.318376, 0.339324, 0.342300,-0.000064, 0.001148,-0.002073,-4.272E-06, 4.651E-03, 8.632E-05, 1.028558, 1.016850, 0.954592, 104.7, 71.3, 268.3, 18.0, 359.9, 4.9, 18.1, 4.6, 288.0, 1.6, 178.9, 85.1, 1.0115, 1.0652, 1.0775, 1.0837, 12,0, 12,0,YES,3D,8/29/2023 7:28:34 PM,,
CUBE12647071, 7.00,, 200, 976,, 90, 0.324701, 0.337978, 0.337322, 0.000835, 0.000130, 0.000290,-4.272E-06, 1.971E-03, 1.072E-04, 1.014180, 1.011894, 0.973926, 86.2, 11.4, 272.7, 78.5, 176.4, 1.3, 258.5, 3.7, 168.5, 0.5, 70.4, 86.2, 1.0023, 1.0390, 1.0413, 1.0466, 12,0, 12,0,YES,3D,8/29/2023 7:30:12 PM,,
CUBE12647091, 7.00,, 200, 976,, 90, 0.317383, 0.341479, 0.341138, 0.000786, 0.001968,-0.000844,-4.272E-06, 3.693E-03, 1.034E-04, 1.029853, 1.018181, 0.951966, 90.0, 42.5, 265.6, 47.4, 358.0, 2.2, 227.5, 0.0, 317.5, 3.0, 137.1, 87.0, 1.0115, 1.0696, 1.0818, 1.0887, 12,0, 12,0,YES,3D,8/29/2023 7:31:49 PM,,
CUBE12647131, 7.00,, 200, 976,, 90, 0.329369, 0.335445, 0.335186,-0.000602,-0.000191,-0.000186,-4.272E-06, 9.410E-04, 1.754E-04, 1.006743, 1.005348, 0.987909, 274.8, 23.9, 100.1, 66.0, 5.7, 2.0, 114.0, 4.4, 23.7, 4.1, 250.7, 84.0, 1.0014, 1.0177, 1.0191, 1.0213, 12,0, 12,0,YES,3D,8/29/2023 7:33:47 PM,,
CUBE12647151, 7.00,, 200, 976,, 90, 0.308186, 0.345016, 0.346798,-0.003036, 0.000955, 0.004470,-4.272E-06, 1.076E-03, 2.010E-04, 1.042422, 1.035331, 0.922247, 71.4, 73.9, 276.5, 14.7, 184.8, 6.6, 195.3, 5.1, 104.8, 6.3, 324.1, 81.9, 1.0068, 1.1226, 1.1303, 1.1476, 12,0, 12,0,YES,3D,8/29/2023 7:35:18 PM,,
CUBE12647171, 7.00,, 200, 976,, 90, 0.325251, 0.337959, 0.336790,-0.000999, 0.000695, 0.000776,-4.272E-06, 1.558E-03, 1.040E-04, 1.014929, 1.009729, 0.975341, 92.9, 23.3, 284.0, 66.3, 184.7, 4.1, 66.7, 2.7, 156.9, 5.6, 311.1, 83.8, 1.0052, 1.0353, 1.0406, 1.0442, 12,0, 12,0,YES,3D,8/29/2023 7:36:53 PM,,
