######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 11 16 44    29303    41701.951       17.646
2021 09 15 11 16 45    29308    41709.331       17.643
2021 09 15 11 16 46    29315    41719.666       17.637
2021 09 15 11 16 47    29323    41731.478       17.631
2021 09 15 11 16 48    29332    41744.770       17.624
2021 09 15 11 16 49    29341    41758.064       17.617
2021 09 15 11 16 50    29348    41768.406       17.611
2021 09 15 11 16 51    29354    41777.272       17.606
2021 09 15 11 16 52    29358    41783.183       17.603
2021 09 15 11 16 53    29361    41787.617       17.601
2021 09 15 11 16 54    29363    41790.573       17.599
2021 09 15 11 16 55    29367    41796.485       17.596
2021 09 15 11 16 56    29372    41803.876       17.592
2021 09 15 11 16 57    29377    41811.268       17.588
2021 09 15 11 16 58    29385    41823.097       17.582
2021 09 15 11 16 59    29392    41833.449       17.577
2021 09 15 11 17 00    29396    41839.365       17.573
2021 09 15 11 17 01    29400    41845.282       17.570
2021 09 15 11 17 02    29402    41848.240       17.569
2021 09 15 11 17 03    29402    41848.240       17.569
2021 09 15 11 17 04    29404    41851.199       17.567
2021 09 15 11 17 05    29408    41857.117       17.564
2021 09 15 11 17 06    29414    41865.994       17.559
2021 09 15 11 17 07    29422    41877.833       17.553
2021 09 15 11 17 08    29430    41889.674       17.547
2021 09 15 11 17 09    29438    41901.517       17.540
2021 09 15 11 17 10    29445    41911.881       17.535
2021 09 15 11 17 11    29450    41919.285       17.531
2021 09 15 11 17 12    29454    41925.209       17.528
2021 09 15 11 17 13    29456    41928.171       17.526
2021 09 15 11 17 14    29458    41931.133       17.525
2021 09 15 11 17 15    29461    41935.577       17.522
2021 09 15 11 17 16    29465    41941.502       17.519
2021 09 15 11 17 17    29468    41945.946       17.517
2021 09 15 11 17 18    29472    41951.872       17.514
2021 09 15 11 17 19    29477    41959.281       17.510
2021 09 15 11 17 20    29482    41966.690       17.506
2021 09 15 11 17 21    29488    41975.582       17.501
2021 09 15 11 17 22    29493    41982.994       17.497
2021 09 15 11 17 23    29496    41987.441       17.495
2021 09 15 11 17 24    29497    41988.923       17.494
2021 09 15 11 17 25    29497    41988.923       17.494
2021 09 15 11 17 26    29499    41991.888       17.493
2021 09 15 11 17 27    29503    41997.818       17.489
2021 09 15 11 17 28    29508    42005.232       17.485
2021 09 15 11 17 29    29515    42015.612       17.480
2021 09 15 11 17 30    29522    42025.994       17.474
2021 09 15 11 17 31    29530    42037.862       17.468
2021 09 15 11 17 32    29536    42046.763       17.464
2021 09 15 11 17 33    29539    42051.215       17.461
2021 09 15 11 17 34    29541    42054.182       17.460
2021 09 15 11 17 35    29543    42057.150       17.458
2021 09 15 11 17 36    29546    42061.602       17.456
2021 09 15 11 17 37    29550    42067.539       17.453
2021 09 15 11 17 38    29552    42070.507       17.451
2021 09 15 11 17 39    29556    42076.445       17.448
2021 09 15 11 17 40    29559    42080.898       17.445
2021 09 15 11 17 41    29562    42085.351       17.443
2021 09 15 11 17 42    29565    42089.805       17.441
2021 09 15 11 17 43    29568    42094.260       17.438
2021 09 15 11 17 44    29571    42098.714       17.436
2021 09 15 11 17 45    29574    42103.169       17.434
2021 09 15 11 17 46    29579    42110.594       17.430
2021 09 15 11 17 47    29584    42118.021       17.426
2021 09 15 11 17 48    29589    42125.448       17.422
2021 09 15 11 17 49    29594    42132.875       17.418
2021 09 15 11 17 50    29601    42143.276       17.413
2021 09 15 11 17 51    29606    42150.706       17.409
2021 09 15 11 17 52    29612    42159.622       17.404
2021 09 15 11 17 53    29617    42167.054       17.400
2021 09 15 11 17 54    29622    42174.487       17.396
2021 09 15 11 17 55    29627    42181.920       17.392
2021 09 15 11 17 56    29634    42192.328       17.387
2021 09 15 11 17 57    29641    42202.738       17.381
2021 09 15 11 17 58    29650    42216.124       17.374
2021 09 15 11 17 59    29659    42229.513       17.367
2021 09 15 11 18 00    29669    42244.393       17.359
2021 09 15 11 18 01    29680    42260.764       17.351
2021 09 15 11 18 02    29690    42275.651       17.343
2021 09 15 11 18 03    29699    42289.052       17.336
2021 09 15 11 18 04    29709    42303.945       17.328
2021 09 15 11 18 05    29722    42323.311       17.318
2021 09 15 11 18 06    29737    42345.663       17.306
2021 09 15 11 18 07    29752    42368.023       17.295
2021 09 15 11 18 08    29768    42391.882       17.282
2021 09 15 11 18 09    29781    42411.273       17.272
2021 09 15 11 18 10    29794    42430.671       17.262
2021 09 15 11 18 11    29807    42450.073       17.252
2021 09 15 11 18 12    29821    42470.975       17.241
2021 09 15 11 18 13    29835    42491.883       17.230
2021 09 15 11 18 14    29849    42512.798       17.219
2021 09 15 11 18 15    29863    42533.719       17.208
2021 09 15 11 18 16    29876    42553.152       17.198
2021 09 15 11 18 17    29889    42572.591       17.188
2021 09 15 11 18 18    29902    42592.035       17.178
2021 09 15 11 18 19    29915    42611.485       17.167
2021 09 15 11 18 20    29930    42633.934       17.156
2021 09 15 11 18 21    29946    42657.888       17.143
2021 09 15 11 18 22    29961    42680.353       17.132
2021 09 15 11 18 23    29974    42699.828       17.122
2021 09 15 11 18 24    29984    42714.813       17.114
2021 09 15 11 18 25    29994    42729.802       17.106
2021 09 15 11 18 26    30003    42743.294       17.099
2021 09 15 11 18 27    30005    42746.293       17.097
2021 09 15 11 18 28    30016    42762.788       17.089
2021 09 15 11 18 29    30026    42777.787       17.081
2021 09 15 11 18 30    30036    42792.790       17.073
2021 09 15 11 18 31    30045    42806.295       17.066
2021 09 15 11 18 32    30053    42818.302       17.060
2021 09 15 11 18 33    30062    42831.812       17.053
2021 09 15 11 18 34    30070    42843.824       17.047
2021 09 15 11 18 35    30202    43042.325       16.944
2021 09 15 11 18 36    30561    43585.179       16.667
2021 09 15 11 18 37    30841    44011.639       16.452
2021 09 15 11 18 38    30987    44235.081       16.340
2021 09 15 11 18 39    31058    44344.009       16.286
2021 09 15 11 18 40    31092    44396.234       16.260
2021 09 15 11 18 41    31111    44425.436       16.245
2021 09 15 11 18 42    31121    44440.811       16.238
2021 09 15 11 18 43    31129    44453.113       16.232
2021 09 15 11 18 44    31135    44462.341       16.227
2021 09 15 11 18 45    31140    44470.032       16.223
2021 09 15 11 18 46    31144    44476.185       16.220
2021 09 15 11 18 47    31150    44485.417       16.216
2021 09 15 11 18 48    31154    44491.571       16.213
2021 09 15 11 18 49    31158    44497.727       16.210
2021 09 15 11 18 50    31165    44508.500       16.204
2021 09 15 11 18 51    31170    44516.196       16.200
2021 09 15 11 18 52    31176    44525.433       16.196
2021 09 15 11 18 53    31185    44539.291       16.189
2021 09 15 11 18 54    31229    44607.079       16.155
2021 09 15 11 18 55    31469    44978.030       15.973
2021 09 15 11 18 56    31717    45363.485       15.785
2021 09 15 11 18 57    31852    45574.229       15.683
2021 09 15 11 18 58    31919    45679.063       15.633
2021 09 15 11 18 59    31954    45733.891       15.606
2021 09 15 11 19 00    31972    45762.106       15.593
2021 09 15 11 19 01    31985    45782.490       15.583
2021 09 15 11 19 02    31993    45795.037       15.577
2021 09 15 11 19 03    31999    45804.449       15.572
2021 09 15 11 19 04    32003    45810.725       15.569
2021 09 15 11 19 05    32009    45820.139       15.565
2021 09 15 11 19 06    32014    45827.985       15.561
2021 09 15 11 19 07    32020    45837.401       15.557
2021 09 15 11 19 08    32027    45848.389       15.551
2021 09 15 11 19 09    32031    45854.668       15.548
2021 09 15 11 19 10    32035    45860.948       15.545
2021 09 15 11 19 11    32039    45867.229       15.542
2021 09 15 11 19 12    32045    45876.650       15.538
2021 09 15 11 19 13    32050    45884.503       15.534
2021 09 15 11 19 14    32055    45892.356       15.530
2021 09 15 11 19 15    32058    45897.069       15.528
2021 09 15 11 19 16    32061    45901.782       15.526
2021 09 15 11 19 17    32064    45906.495       15.524
2021 09 15 11 19 18    32067    45911.208       15.521
2021 09 15 11 19 19    32074    45922.208       15.516
2021 09 15 11 19 20    32082    45934.781       15.510
2021 09 15 11 19 21    32088    45944.212       15.506
2021 09 15 11 19 22    32092    45950.500       15.503
2021 09 15 11 19 23    32095    45955.217       15.500
2021 09 15 11 19 24    32101    45964.651       15.496
2021 09 15 11 19 25    32105    45970.941       15.493
2021 09 15 11 19 26    32110    45978.804       15.489
2021 09 15 11 19 27    32115    45986.668       15.485
2021 09 15 11 19 28    32118    45991.387       15.483
2021 09 15 11 19 29    32123    45999.253       15.479
2021 09 15 11 19 30    32129    46008.693       15.475
2021 09 15 11 19 31    32135    46018.134       15.470
2021 09 15 11 19 32    32141    46027.577       15.466
2021 09 15 11 19 33    32146    46035.447       15.462
2021 09 15 11 19 34    32152    46044.892       15.457
2021 09 15 11 19 35    32157    46052.764       15.454
2021 09 15 11 19 36    32165    46065.361       15.448
2021 09 15 11 19 37    32172    46076.385       15.442
2021 09 15 11 19 38    32178    46085.836       15.438
2021 09 15 11 19 39    32183    46093.712       15.434
2021 09 15 11 19 40    32187    46100.014       15.431
2021 09 15 11 19 41    32193    46109.468       15.427
2021 09 15 11 19 42    32205    46128.380       15.418
2021 09 15 11 19 43    32344    46347.823       15.314
2021 09 15 11 19 44    32604    46760.184       15.119
2021 09 15 11 19 45    32805    47080.673       14.970
2021 09 15 11 19 46    32915    47256.697       14.888
2021 09 15 11 19 47    32970    47344.878       14.847
2021 09 15 11 19 48    33006    47402.657       14.820
2021 09 15 11 19 49    33203    47719.695       14.675
2021 09 15 11 19 50    33538    48262.169       14.428
2021 09 15 11 19 51    33818    48718.847       14.222
2021 09 15 11 19 52    33925    48894.156       14.144
2021 09 15 11 19 53    33941    48920.408       14.132
2021 09 15 11 19 54    33931    48903.999       14.140
2021 09 15 11 19 55    33948    48931.896       14.127
2021 09 15 11 19 56    34135    49239.502       13.991
2021 09 15 11 19 57    34393    49666.128       13.803
2021 09 15 11 19 58    34544    49917.026       13.693
2021 09 15 11 19 59    34578    49973.643       13.669
2021 09 15 11 20 00    34577    49971.977       13.669
2021 09 15 11 20 01    34580    49976.975       13.667
2021 09 15 11 20 02    34583    49981.973       13.665
2021 09 15 11 20 03    34588    49990.304       13.661
2021 09 15 11 20 04    34591    49995.303       13.659
2021 09 15 11 20 05    34595    50001.969       13.656
2021 09 15 11 20 06    34598    50006.969       13.654
2021 09 15 11 20 07    34684    50150.448       13.592
2021 09 15 11 20 08    34924    50552.405       13.419
2021 09 15 11 20 09    35147    50927.949       13.258
2021 09 15 11 20 10    35230    51068.235       13.198
2021 09 15 11 20 11    35232    51071.619       13.197
2021 09 15 11 20 12    35218    51047.935       13.207
2021 09 15 11 20 13    35205    51025.951       13.216
2021 09 15 11 20 14    35196    51010.735       13.223
2021 09 15 11 20 15    35190    51000.593       13.227
2021 09 15 11 20 16    35186    50993.832       13.230
2021 09 15 11 20 17    35182    50987.072       13.233
2021 09 15 11 20 18    35179    50982.002       13.235
2021 09 15 11 20 19    35177    50978.623       13.236
2021 09 15 11 20 20    35176    50976.933       13.237
2021 09 15 11 20 21    35175    50975.243       13.238
2021 09 15 11 20 22    35174    50973.554       13.239
2021 09 15 11 20 23    35175    50975.243       13.238
2021 09 15 11 20 24    35175    50975.243       13.238
2021 09 15 11 20 25    35177    50978.623       13.236
2021 09 15 11 20 26    35178    50980.312       13.236
2021 09 15 11 20 27    35178    50980.312       13.236
2021 09 15 11 20 28    35178    50980.312       13.236
2021 09 15 11 20 29    35178    50980.312       13.236
2021 09 15 11 20 30    35178    50980.312       13.236
2021 09 15 11 20 31    35179    50982.002       13.235
2021 09 15 11 20 32    35180    50983.692       13.234
2021 09 15 11 20 33    35181    50985.382       13.234
2021 09 15 11 20 34    35182    50987.072       13.233
2021 09 15 11 20 35    35181    50985.382       13.234
2021 09 15 11 20 36    35181    50985.382       13.234
2021 09 15 11 20 37    35181    50985.382       13.234
2021 09 15 11 20 38    35181    50985.382       13.234
2021 09 15 11 20 39    35181    50985.382       13.234
2021 09 15 11 20 40    35233    51073.311       13.196
2021 09 15 11 20 41    35369    51303.794       13.099
2021 09 15 11 20 42    35489    51507.784       13.013
2021 09 15 11 20 43    35550    51611.703       12.969
2021 09 15 11 20 44    35575    51654.337       12.951
2021 09 15 11 20 45    35582    51666.279       12.946
2021 09 15 11 20 46    35583    51667.985       12.945
2021 09 15 11 20 47    35581    51664.572       12.947
2021 09 15 11 20 48    35579    51661.160       12.948
2021 09 15 11 20 49    35577    51657.748       12.950
2021 09 15 11 20 50    35575    51654.337       12.951
2021 09 15 11 20 51    35618    51727.726       12.920
2021 09 15 11 20 52    35698    51864.466       12.863
2021 09 15 11 20 53    35749    51951.775       12.827
2021 09 15 11 20 54    35771    51989.470       12.811
2021 09 15 11 20 55    35779    52003.183       12.806
2021 09 15 11 20 56    35780    52004.897       12.805
2021 09 15 11 20 57    35778    52001.468       12.806
2021 09 15 11 20 58    35776    51998.040       12.808
2021 09 15 11 20 59    35772    51991.184       12.811
2021 09 15 11 21 00    35769    51986.043       12.813
2021 09 15 11 21 01    35765    51979.188       12.816
2021 09 15 11 21 02    35761    51972.333       12.818
2021 09 15 11 21 03    35757    51965.480       12.821
2021 09 15 11 21 04    35754    51960.340       12.823
2021 09 15 11 21 05    35751    51955.201       12.826
2021 09 15 11 21 06    35747    51948.349       12.828
2021 09 15 11 21 07    35744    51943.210       12.831
2021 09 15 11 21 08    35742    51939.785       12.832
2021 09 15 11 21 09    35739    51934.647       12.834
2021 09 15 11 21 10    35736    51929.509       12.836
2021 09 15 11 21 11    35734    51926.085       12.838
2021 09 15 11 21 12    35731    51920.948       12.840
2021 09 15 11 21 13    35729    51917.523       12.841
2021 09 15 11 21 14    35727    51914.099       12.843
2021 09 15 11 21 15    35724    51908.963       12.845
2021 09 15 11 21 16    35721    51903.827       12.847
2021 09 15 11 21 17    35719    51900.404       12.848
2021 09 15 11 21 18    35715    51893.557       12.851
2021 09 15 11 21 19    35714    51891.846       12.852
2021 09 15 11 21 20    35712    51888.423       12.853
2021 09 15 11 21 21    35710    51885.000       12.855
2021 09 15 11 21 22    35709    51883.288       12.855
2021 09 15 11 21 23    35707    51879.866       12.857
2021 09 15 11 21 24    35705    51876.443       12.858
2021 09 15 11 21 25    35702    51871.310       12.860
2021 09 15 11 21 26    35700    51867.888       12.862
2021 09 15 11 21 27    35698    51864.466       12.863
2021 09 15 11 21 28    35695    51859.334       12.865
2021 09 15 11 21 29    35692    51854.202       12.868
2021 09 15 11 21 30    35690    51850.780       12.869
2021 09 15 11 21 31    35687    51845.649       12.871
2021 09 15 11 21 32    35685    51842.228       12.873
2021 09 15 11 21 33    35682    51837.097       12.875
2021 09 15 11 21 34    35678    51830.257       12.878
2021 09 15 11 21 35    35675    51825.127       12.880
2021 09 15 11 21 36    35672    51819.997       12.882
2021 09 15 11 21 37    35671    51818.287       12.883
2021 09 15 11 21 38    35669    51814.868       12.884
2021 09 15 11 21 39    35669    51814.868       12.884
2021 09 15 11 21 40    35667    51811.448       12.885
2021 09 15 11 21 41    35664    51806.320       12.888
2021 09 15 11 21 42    35663    51804.610       12.888
2021 09 15 11 21 43    35660    51799.482       12.890
2021 09 15 11 21 44    35659    51797.773       12.891
2021 09 15 11 21 45    35658    51796.063       12.892
2021 09 15 11 21 46    35656    51792.645       12.893
2021 09 15 11 21 47    35655    51790.936       12.894
2021 09 15 11 21 48    35655    51790.936       12.894
2021 09 15 11 21 49    35658    51796.063       12.892
2021 09 15 11 21 50    35662    51802.901       12.889
2021 09 15 11 21 51    35664    51806.320       12.888
2021 09 15 11 21 52    35667    51811.448       12.885
2021 09 15 11 21 53    35669    51814.868       12.884
2021 09 15 11 21 54    35702    51871.310       12.860
2021 09 15 11 21 55    35816    52066.637       12.779
2021 09 15 11 21 56    35944    52286.589       12.688
2021 09 15 11 21 57    36000    52383.031       12.648
2021 09 15 11 21 58    36017    52412.333       12.636
2021 09 15 11 21 59    36023    52422.678       12.632
2021 09 15 11 22 00    36053    52474.426       12.611
2021 09 15 11 22 01    36174    52683.520       12.525
2021 09 15 11 22 02    36298    52898.432       12.437
2021 09 15 11 22 03    36341    52973.108       12.406
2021 09 15 11 22 04    36342    52974.845       12.406
2021 09 15 11 22 05    36337    52966.158       12.409
2021 09 15 11 22 06    36335    52962.683       12.411
2021 09 15 11 22 07    36382    53044.383       12.377
2021 09 15 11 22 08    36473    53202.831       12.313
2021 09 15 11 22 09    36523    53290.039       12.278
2021 09 15 11 22 10    36541    53321.460       12.265
2021 09 15 11 22 11    36547    53331.937       12.261
2021 09 15 11 22 12    36559    53352.894       12.252
2021 09 15 11 22 13    36628    53473.520       12.204
2021 09 15 11 22 14    36705    53608.370       12.149
2021 09 15 11 22 15    36739    53667.994       12.125
2021 09 15 11 22 16    36747    53682.030       12.120
2021 09 15 11 22 17    36747    53682.030       12.120
2021 09 15 11 22 18    36758    53701.335       12.112
2021 09 15 11 22 19    36816    53803.207       12.071
2021 09 15 11 22 20    36857    53875.307       12.042
2021 09 15 11 22 21    36861    53882.345       12.040
2021 09 15 11 22 22    36851    53864.752       12.047
2021 09 15 11 22 23    36839    53843.645       12.055
2021 09 15 11 22 24    36831    53829.577       12.061
2021 09 15 11 22 25    36827    53822.544       12.063
2021 09 15 11 22 26    36823    53815.512       12.066
2021 09 15 11 22 27    36821    53811.996       12.068
2021 09 15 11 22 28    36818    53806.723       12.070
2021 09 15 11 22 29    36831    53829.577       12.061
2021 09 15 11 22 30    36902    53954.524       12.011
2021 09 15 11 22 31    36979    54090.274       11.957
2021 09 15 11 22 32    36985    54100.862       11.952
2021 09 15 11 22 33    36953    54044.408       11.975
2021 09 15 11 22 34    36925    53995.046       11.995
2021 09 15 11 22 35    36913    53973.901       12.003
2021 09 15 11 22 36    36951    54040.881       11.976
2021 09 15 11 22 37    37029    54178.559       11.921
2021 09 15 11 22 38    37087    54281.105       11.881
2021 09 15 11 22 39    37089    54284.644       11.879
2021 09 15 11 22 40    37072    54254.571       11.891
2021 09 15 11 22 41    37059    54231.582       11.900
2021 09 15 11 22 42    37095    54295.261       11.875
2021 09 15 11 22 43    37167    54422.786       11.825
2021 09 15 11 22 44    37222    54520.352       11.786
2021 09 15 11 22 45    37231    54536.330       11.780
2021 09 15 11 22 46    37219    54515.027       11.788
2021 09 15 11 22 47    37204    54488.407       11.799
2021 09 15 11 22 48    37200    54481.310       11.802
2021 09 15 11 22 49    37247    54564.744       11.769
2021 09 15 11 22 50    37302    54662.501       11.730
2021 09 15 11 22 51    37328    54708.759       11.712
2021 09 15 11 22 52    37337    54724.778       11.706
2021 09 15 11 22 53    37338    54726.558       11.705
2021 09 15 11 22 54    37338    54726.558       11.705
2021 09 15 11 22 55    37335    54721.218       11.707
2021 09 15 11 22 56    37334    54719.438       11.708
2021 09 15 11 22 57    37332    54715.878       11.709
2021 09 15 11 22 58    37330    54712.318       11.711
2021 09 15 11 22 59    37328    54708.759       11.712
2021 09 15 11 23 00    37326    54705.199       11.713
2021 09 15 11 23 01    37325    54703.420       11.714
2021 09 15 11 23 02    37324    54701.640       11.715
2021 09 15 11 23 03    37323    54699.860       11.716
2021 09 15 11 23 04    37322    54698.081       11.716
2021 09 15 11 23 05    37319    54692.743       11.718
2021 09 15 11 23 06    37318    54690.964       11.719
2021 09 15 11 23 07    37316    54687.405       11.720
2021 09 15 11 23 08    37314    54683.847       11.722
2021 09 15 11 23 09    37312    54680.289       11.723
2021 09 15 11 23 10    37310    54676.731       11.725
2021 09 15 11 23 11    37309    54674.952       11.725
2021 09 15 11 23 12    37307    54671.394       11.727
2021 09 15 11 23 13    37332    54715.878       11.709
2021 09 15 11 23 14    37390    54819.185       11.669
2021 09 15 11 23 15    37441    54910.145       11.633
2021 09 15 11 23 16    37462    54947.632       11.618
2021 09 15 11 23 17    37462    54947.632       11.618
2021 09 15 11 23 18    37454    54933.349       11.624
2021 09 15 11 23 19    37447    54920.854       11.629
2021 09 15 11 23 20    37474    54969.062       11.610
2021 09 15 11 23 21    37518    55047.692       11.579
2021 09 15 11 23 22    37539    55085.250       11.565
2021 09 15 11 23 23    37545    55095.985       11.561
2021 09 15 11 23 24    37544    55094.195       11.561
2021 09 15 11 23 25    37542    55090.617       11.563
2021 09 15 11 23 26    37542    55090.617       11.563
2021 09 15 11 23 27    37567    55135.357       11.545
2021 09 15 11 23 28    37604    55201.623       11.519
2021 09 15 11 23 29    37623    55235.675       11.506
2021 09 15 11 23 30    37627    55242.846       11.503
2021 09 15 11 23 31    37626    55241.053       11.504
2021 09 15 11 23 32    37623    55235.675       11.506
2021 09 15 11 23 33    37620    55230.298       11.508
2021 09 15 11 23 34    37618    55226.713       11.510
2021 09 15 11 23 35    37615    55221.336       11.512
2021 09 15 11 23 36    37613    55217.751       11.513
2021 09 15 11 23 37    37611    55214.167       11.515
2021 09 15 11 23 38    37609    55210.583       11.516
2021 09 15 11 23 39    37606    55205.207       11.518
2021 09 15 11 23 40    37605    55203.415       11.519
2021 09 15 11 23 41    37603    55199.832       11.520
2021 09 15 11 23 42    37601    55196.248       11.522
2021 09 15 11 23 43    37599    55192.665       11.523
2021 09 15 11 23 44    37597    55189.082       11.524
2021 09 15 11 23 45    37610    55212.375       11.515
2021 09 15 11 23 46    37658    55298.444       11.482
2021 09 15 11 23 47    37713    55397.189       11.444
2021 09 15 11 23 48    37743    55451.107       11.423
2021 09 15 11 23 49    37753    55469.088       11.416
2021 09 15 11 23 50    37753    55469.088       11.416
2021 09 15 11 23 51    37750    55463.693       11.418
2021 09 15 11 23 52    37746    55456.501       11.421
2021 09 15 11 23 53    37742    55449.309       11.423
2021 09 15 11 23 54    37738    55442.118       11.426
2021 09 15 11 23 55    37734    55434.927       11.429
2021 09 15 11 23 56    37731    55429.535       11.431
2021 09 15 11 23 57    37727    55422.346       11.434
2021 09 15 11 23 58    37724    55416.954       11.436
2021 09 15 11 23 59    37722    55413.360       11.437
2021 09 15 11 24 00    37720    55409.767       11.439
2021 09 15 11 24 01    37718    55406.173       11.440
2021 09 15 11 24 02    37716    55402.579       11.441
2021 09 15 11 24 03    37715    55400.783       11.442
2021 09 15 11 24 04    37712    55395.393       11.444
2021 09 15 11 24 05    37710    55391.800       11.446
2021 09 15 11 24 06    37707    55386.411       11.448
2021 09 15 11 24 07    37705    55382.818       11.449
2021 09 15 11 24 08    37704    55381.022       11.450
2021 09 15 11 24 09    37709    55390.003       11.446
2021 09 15 11 24 10    37736    55438.522       11.428
2021 09 15 11 24 11    37756    55474.483       11.414
2021 09 15 11 24 12    37763    55487.074       11.409
2021 09 15 11 24 13    37764    55488.873       11.408
2021 09 15 11 24 14    37764    55488.873       11.408
2021 09 15 11 24 15    37761    55483.476       11.410
2021 09 15 11 24 16    37759    55479.879       11.412
2021 09 15 11 24 17    37756    55474.483       11.414
2021 09 15 11 24 18    37753    55469.088       11.416
2021 09 15 11 24 19    37751    55465.491       11.417
2021 09 15 11 24 20    37748    55460.097       11.419
2021 09 15 11 24 21    37745    55454.703       11.421
2021 09 15 11 24 22    37743    55451.107       11.423
2021 09 15 11 24 23    37740    55445.713       11.425
2021 09 15 11 24 24    37739    55443.915       11.425
2021 09 15 11 24 25    37737    55440.320       11.427
2021 09 15 11 24 26    37735    55436.725       11.428
2021 09 15 11 24 27    37733    55433.130       11.430
2021 09 15 11 24 28    37731    55429.535       11.431
2021 09 15 11 24 29    37729    55425.940       11.432
2021 09 15 11 24 30    37727    55422.346       11.434
2021 09 15 11 24 31    37724    55416.954       11.436
2021 09 15 11 24 32    37723    55415.157       11.437
2021 09 15 11 24 33    37720    55409.767       11.439
2021 09 15 11 24 34    37728    55424.143       11.433
2021 09 15 11 24 35    37750    55463.693       11.418
2021 09 15 11 24 36    37760    55481.678       11.411
2021 09 15 11 24 37    37752    55467.290       11.416
2021 09 15 11 24 38    37746    55456.501       11.421
2021 09 15 11 24 39    37743    55451.107       11.423
2021 09 15 11 24 40    37742    55449.309       11.423
2021 09 15 11 24 41    37740    55445.713       11.425
2021 09 15 11 24 42    37739    55443.915       11.425
2021 09 15 11 24 43    37738    55442.118       11.426
2021 09 15 11 24 44    37736    55438.522       11.428
2021 09 15 11 24 45    37734    55434.927       11.429
2021 09 15 11 24 46    37746    55456.501       11.421
2021 09 15 11 24 47    37773    55505.064       11.402
2021 09 15 11 24 48    37789    55533.857       11.391
2021 09 15 11 24 49    37796    55546.458       11.386
2021 09 15 11 24 50    37797    55548.258       11.385
2021 09 15 11 24 51    37796    55546.458       11.386
2021 09 15 11 24 52    37794    55542.858       11.387
2021 09 15 11 24 53    37792    55539.257       11.389
2021 09 15 11 24 54    37789    55533.857       11.391
2021 09 15 11 24 55    37785    55526.658       11.393
2021 09 15 11 24 56    37783    55523.058       11.395
2021 09 15 11 24 57    37800    55553.659       11.383
2021 09 15 11 24 58    37828    55604.089       11.364
2021 09 15 11 24 59    37841    55627.514       11.354
2021 09 15 11 25 00    37831    55609.494       11.361
2021 09 15 11 25 01    37816    55582.472       11.372
2021 09 15 11 25 02    37803    55559.061       11.381
2021 09 15 11 25 03    37792    55539.257       11.389
2021 09 15 11 25 04    37783    55523.058       11.395
2021 09 15 11 25 05    37777    55512.261       11.399
2021 09 15 11 25 06    37771    55501.465       11.403
2021 09 15 11 25 07    37768    55496.068       11.405
2021 09 15 11 25 08    37765    55490.671       11.407
2021 09 15 11 25 09    37767    55494.269       11.406
2021 09 15 11 25 10    37786    55528.458       11.393
2021 09 15 11 25 11    37799    55551.859       11.384
2021 09 15 11 25 12    37805    55562.662       11.380
2021 09 15 11 25 13    37807    55566.263       11.378
2021 09 15 11 25 14    37805    55562.662       11.380
2021 09 15 11 25 15    37803    55559.061       11.381
2021 09 15 11 25 16    37801    55555.460       11.382
2021 09 15 11 25 17    37798    55550.059       11.384
2021 09 15 11 25 18    37796    55546.458       11.386
2021 09 15 11 25 19    37793    55541.057       11.388
2021 09 15 11 25 20    37794    55542.858       11.387
2021 09 15 11 25 21    37809    55569.865       11.377
2021 09 15 11 25 22    37819    55587.875       11.370
2021 09 15 11 25 23    37824    55596.882       11.366
2021 09 15 11 25 24    37825    55598.684       11.366
2021 09 15 11 25 25    37823    55595.081       11.367
2021 09 15 11 25 26    37821    55591.478       11.368
2021 09 15 11 25 27    37820    55589.677       11.369
2021 09 15 11 25 28    37817    55584.273       11.371
2021 09 15 11 25 29    37815    55580.671       11.373
2021 09 15 11 25 30    37812    55575.268       11.375
2021 09 15 11 25 31    37811    55573.467       11.375
2021 09 15 11 25 32    37823    55595.081       11.367
2021 09 15 11 25 33    37851    55645.539       11.348
2021 09 15 11 25 34    37866    55672.584       11.337
2021 09 15 11 25 35    37867    55674.387       11.336
2021 09 15 11 25 36    37864    55668.977       11.339
2021 09 15 11 25 37    37858    55658.159       11.343
2021 09 15 11 25 38    37855    55652.750       11.345
2021 09 15 11 25 39    37853    55649.144       11.346
2021 09 15 11 25 40    37849    55641.933       11.349
2021 09 15 11 25 41    37847    55638.328       11.350
2021 09 15 11 25 42    37845    55634.723       11.352
2021 09 15 11 25 43    37845    55634.723       11.352
2021 09 15 11 25 44    37859    55659.962       11.342
2021 09 15 11 25 45    37883    55703.247       11.325
2021 09 15 11 25 46    37888    55712.269       11.322
2021 09 15 11 25 47    37869    55677.994       11.335
2021 09 15 11 25 48    37850    55643.736       11.348
2021 09 15 11 25 49    37838    55622.108       11.357
2021 09 15 11 25 50    37837    55620.305       11.357
2021 09 15 11 25 51    37856    55654.553       11.344
2021 09 15 11 25 52    37872    55683.405       11.333
