######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 10 48 58    24588    35089.352       21.528
2021 09 15 10 48 59    24590    35092.017       21.526
2021 09 15 10 49 00    24591    35093.350       21.525
2021 09 15 10 49 01    24593    35096.015       21.523
2021 09 15 10 49 02    24594    35097.348       21.522
2021 09 15 10 49 03    24596    35100.013       21.521
2021 09 15 10 49 04    24598    35102.679       21.519
2021 09 15 10 49 05    24599    35104.012       21.518
2021 09 15 10 49 06    24601    35106.678       21.516
2021 09 15 10 49 07    24603    35109.343       21.515
2021 09 15 10 49 08    24603    35109.343       21.515
2021 09 15 10 49 09    24605    35112.009       21.513
2021 09 15 10 49 10    24607    35114.676       21.511
2021 09 15 10 49 11    24608    35116.009       21.510
2021 09 15 10 49 12    24610    35118.675       21.509
2021 09 15 10 49 13    24610    35118.675       21.509
2021 09 15 10 49 14    24612    35121.341       21.507
2021 09 15 10 49 15    24613    35122.675       21.506
2021 09 15 10 49 16    24613    35122.675       21.506
2021 09 15 10 49 17    24555    35045.394       21.556
2021 09 15 10 49 18    24509    34984.169       21.596
2021 09 15 10 49 19    24497    34968.207       21.606
2021 09 15 10 49 20    24499    34970.867       21.604
2021 09 15 10 49 21    24503    34976.188       21.601
2021 09 15 10 49 22    24506    34980.178       21.598
2021 09 15 10 49 23    24506    34980.178       21.598
2021 09 15 10 49 24    24503    34976.188       21.601
2021 09 15 10 49 25    24494    34964.217       21.609
2021 09 15 10 49 26    24485    34952.250       21.617
2021 09 15 10 49 27    24463    34923.004       21.636
2021 09 15 10 49 28    24420    34865.882       21.673
2021 09 15 10 49 29    24395    34832.695       21.695
2021 09 15 10 49 30    24370    34799.526       21.716
2021 09 15 10 49 31    24354    34778.307       21.730
2021 09 15 10 49 32    24347    34769.026       21.736
2021 09 15 10 49 33    24342    34762.397       21.740
2021 09 15 10 49 34    24340    34759.746       21.742
2021 09 15 10 49 35    24339    34758.420       21.743
2021 09 15 10 49 36    24337    34755.769       21.745
2021 09 15 10 49 37    24335    34753.118       21.747
2021 09 15 10 49 38    24333    34750.467       21.748
2021 09 15 10 49 39    24331    34747.817       21.750
2021 09 15 10 49 40    24329    34745.166       21.752
2021 09 15 10 49 41    24327    34742.516       21.754
2021 09 15 10 49 42    24325    34739.865       21.755
2021 09 15 10 49 43    24322    34735.890       21.758
2021 09 15 10 49 44    24319    34731.915       21.760
2021 09 15 10 49 45    24316    34727.940       21.763
2021 09 15 10 49 46    24313    34723.965       21.766
2021 09 15 10 49 47    24311    34721.316       21.767
2021 09 15 10 49 48    24308    34717.341       21.770
2021 09 15 10 49 49    24306    34714.692       21.772
2021 09 15 10 49 50    24303    34710.718       21.774
2021 09 15 10 49 51    24301    34708.069       21.776
2021 09 15 10 49 52    24299    34705.420       21.778
2021 09 15 10 49 53    24296    34701.447       21.780
2021 09 15 10 49 54    24295    34700.123       21.781
2021 09 15 10 49 55    24293    34697.474       21.783
2021 09 15 10 49 56    24291    34694.826       21.785
