IMS version: 14.0
X-SQUID Calib Constant: 8.1036E-5
X-SQUID Response Length: 7.300
Y-SQUID Calib Constant: -8.2590E-5
Y-SQUID Response Length: 7.300
Z-SQUID Calib Constant: 3.8825E-5
Z-SQUID Response Length: 9.000

Section Tray Length,160.0
Top Offset,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Text_ID,Offset,Depth,Heading,Mode,Type,Shape,Shape Value,TimeStamp,X-Drift,Y-Drift,Z-Drift,X-0,Y-0,Z-0,X-1,Y-1,Z-1,X-2,Y-2,Z-2,Treatment Type,X-Treatment,Y-Treatment,Z-Treatment,X-Counts,Y-Counts,Z-Counts,X-Analog,Y-Analog,Z-Analog,X-Total Signal,Y-Total Signal,Z-Total Signal,X-Moment,Y-Moment,Z-Moment,X-Magnetization,Y-Magnetization,Z-Magnetization,Inclination,Declination,Intensity,X-Moment DC,Y-Moment DC,Z-Moment DC,X-Magnetization DC,Y-Magnetization DC,Z-Magnetization DC,Inclination DC,Declination DC,Intensity DC,X-Flux-Remaing,Y-Flux-Remaing,Z-Flux-Remaing
BKGND,SECTION TRAY,0.0,,,,Sample,Full Round Profile,1.000000,3790874103.572521,-2.132463E-10,-8.096670E-12,-3.140106E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,2.545000E-1,-3.791400E-1,-3.548900E-1,-1.299400E-1,5.209000E-2,1.354600E-1,-1.052982E-8,-4.302113E-9,-5.259234E-9,-1.442441E-3,-5.893306E-4,-5.843594E-4,-20.56,202.22,1.664158E-3,-1.031657E-8,-4.294016E-9,-5.227833E-9,-1.413229E-3,-5.882214E-4,-5.808704E-4,-20.78,202.60 ,1.637263E-3,0,0,0
BKGND,SECTION TRAY,2.0,,,,Sample,Full Round Profile,1.000000,3790874105.616225,-2.375553E-10,-9.019651E-12,-3.498064E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.005000E-1,-3.986200E-1,-3.466100E-1,-8.394000E-2,3.261000E-2,1.437400E-1,-6.802162E-9,-2.693260E-9,-5.580705E-9,-9.318030E-4,-3.689397E-4,-6.200784E-4,-31.75,201.60,1.178504E-3,-6.564607E-9,-2.684240E-9,-5.545725E-9,-8.992612E-4,-3.677041E-4,-6.161917E-4,-32.38,202.24 ,1.150465E-3,0,0,0
BKGND,SECTION TRAY,4.0,,,,Sample,Full Round Profile,1.000000,3790874107.660758,-2.618742E-10,-9.943008E-12,-3.856166E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.506700E-1,-4.199400E-1,-3.840600E-1,-3.377000E-2,1.129000E-2,1.062900E-1,-2.736586E-9,-9.324411E-10,-4.126709E-9,-3.748748E-4,-1.277317E-4,-4.585232E-4,-49.18,198.82,6.058796E-4,-2.474711E-9,-9.224981E-10,-4.088148E-9,-3.390016E-4,-1.263696E-4,-4.542386E-4,-51.46,200.44 ,5.807100E-4,0,0,0
BKGND,SECTION TRAY,6.0,,,,Sample,Full Round Profile,1.000000,3790874109.712423,-2.862780E-10,-1.086958E-11,-4.215517E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.602400E-1,-4.271200E-1,-4.192400E-1,-2.420000E-2,4.110000E-3,7.111000E-2,-1.961071E-9,-3.394449E-10,-2.760846E-9,-2.686399E-4,-4.649930E-5,-3.067606E-4,-48.37,189.82,4.104043E-4,-1.674793E-9,-3.285753E-10,-2.718691E-9,-2.294237E-4,-4.501032E-5,-3.020767E-4,-52.26,191.10 ,3.819837E-4,0,0,0
BKGND,SECTION TRAY,8.0,,,,Sample,Full Round Profile,1.000000,3790874111.757921,-3.106084E-10,-1.179338E-11,-4.573789E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.571800E-1,-4.313800E-1,-4.346300E-1,-2.726000E-2,-1.500000E-4,5.572000E-2,-2.209041E-9,1.238850E-11,-2.163329E-9,-3.026084E-4,1.697055E-6,-2.403699E-4,-38.46,179.68,3.864614E-4,-1.898433E-9,2.418188E-11,-2.117591E-9,-2.600593E-4,3.312586E-6,-2.352879E-4,-42.13,179.27 ,3.507167E-4,0,0,0
BKGND,SECTION TRAY,10.0,,,,Sample,Full Round Profile,1.000000,3790874113.807978,-3.349930E-10,-1.271923E-11,-4.932859E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.560200E-1,-4.349000E-1,-4.413400E-1,-2.842000E-2,-3.670000E-3,4.901000E-2,-2.303043E-9,3.031053E-10,-1.902813E-9,-3.154854E-4,4.152127E-5,-2.114237E-4,-33.60,172.50,3.820406E-4,-1.968050E-9,3.158245E-10,-1.853485E-9,-2.695959E-4,4.326363E-5,-2.059427E-4,-37.03,170.88 ,3.420031E-4,0,0,0
BKGND,SECTION TRAY,12.0,,,,Sample,Full Round Profile,1.000000,3790874115.857103,-3.593665E-10,-1.364466E-11,-5.291765E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.564400E-1,-4.372900E-1,-4.491400E-1,-2.800000E-2,-6.060000E-3,4.121000E-2,-2.269008E-9,5.004954E-10,-1.599978E-9,-3.108230E-4,6.856101E-5,-1.777754E-4,-29.18,167.56,3.645760E-4,-1.909641E-9,5.141401E-10,-1.547061E-9,-2.615947E-4,7.043014E-5,-1.718956E-4,-32.40,164.93 ,3.208431E-4,0,0,0
BKGND,SECTION TRAY,14.0,,,,Sample,Full Round Profile,1.000000,3790874117.909615,-3.837803E-10,-1.457162E-11,-5.651265E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.562500E-1,-4.343300E-1,-4.547400E-1,-2.819000E-2,-3.100000E-3,3.561000E-2,-2.284405E-9,2.560290E-10,-1.382558E-9,-3.129322E-4,3.507247E-5,-1.536176E-4,-26.01,173.61,3.503641E-4,-1.900625E-9,2.706006E-10,-1.326046E-9,-2.603595E-4,3.706858E-5,-1.473384E-4,-29.26,171.90 ,3.014461E-4,0,0,0
BKGND,SECTION TRAY,16.0,,,,Sample,Full Round Profile,1.000000,3790874119.948164,-4.080281E-10,-1.549227E-11,-6.008319E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.547800E-1,-4.298100E-1,-4.584700E-1,-2.966000E-2,1.420000E-3,3.188000E-2,-2.403528E-9,-1.172778E-10,-1.237741E-9,-3.292504E-4,-1.606545E-5,-1.375268E-4,-22.65,182.79,3.571800E-4,-1.995500E-9,-1.017855E-10,-1.177658E-9,-2.733561E-4,-1.394322E-5,-1.308509E-4,-25.55,182.92 ,3.033808E-4,0,0,0
BKGND,SECTION TRAY,18.0,,,,Sample,Full Round Profile,1.000000,3790874122.004704,-4.324898E-10,-1.642105E-11,-6.368525E-11,1,0,0,0,1,0,0,0,1,NRM,0,0,0,0,0,0,3.545100E-1,-4.301500E-1,-4.615000E-1,-2.993000E-2,1.080000E-3,2.885000E-2,-2.425407E-9,-8.919720E-11,-1.120101E-9,-3.322476E-4,-1.221879E-5,-1.244557E-4,-20.52,182.11,3.550028E-4,-1.992918E-9,-7.277615E-11,-1.056416E-9,-2.730024E-4,-9.969336E-6,-1.173796E-4,-23.25,182.09 ,2.973343E-4,0,0,0
