Standard,X,Y,Z
red,26.9,16.61,7.34
orange,56.7,52.59,14.61
yellow,69.72,72.12,8.73
green,21.17,30.61,22.46
cyan,28.87,40.61,59.08
blue,21.67,21.87,64.73
purple,15.31,13.9,17.63
violet,28.97,24.51,48.89
